City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Qandala,SO,11.47,49.87,79.63,65,0,8.19,clear sky
311,Poronaysk,RU,49.22,143.12,52.16,68,44,6.64,scattered clouds
312,San Carlos,VE,9.66,-68.58,73.0,96,98,1.05,overcast clouds
313,Kijang,KR,35.24,129.21,62.6,42,0,8.05,clear sky
314,Pueblo Nuevo,MX,23.38,-105.38,56.79,38,2,11.1,clear sky
315,Guiratinga,BR,-16.35,-53.76,71.13,82,87,4.09,overcast clouds
316,Hobbs,US,32.7,-103.14,54.0,40,1,8.05,clear sky
317,Xiaoshi,CN,41.3,124.12,42.8,26,75,8.95,broken clouds
318,Port-Cartier,CA,50.03,-66.87,39.2,86,100,4.7,overcast clouds
319,Ostrovnoy,RU,68.05,39.51,38.01,87,100,24.96,overcast clouds
320,Gurjaani,GE,41.74,45.8,66.33,38,1,3.62,clear sky
321,Bolshaya Dzhalga,RU,45.97,42.7,54.61,88,100,7.16,light rain
322,Progreso,MX,21.28,-89.67,73.99,88,5,4.7,clear sky
323,Aparecida Do Taboado,BR,-20.09,-51.09,67.23,62,28,10.98,scattered clouds
324,Touros,BR,-5.2,-35.46,78.8,83,40,9.17,scattered clouds
325,Iqaluit,CA,63.75,-68.51,15.8,72,90,9.17,light snow
326,Mahebourg,MU,-20.41,57.7,75.2,57,75,10.29,broken clouds
327,Saint-Philippe,RE,-21.36,55.77,75.2,47,90,5.82,overcast clouds
328,Nova Olinda Do Norte,BR,-3.89,-59.09,74.43,94,54,2.53,broken clouds
329,Thinadhoo,MV,0.53,72.93,83.7,72,83,7.2,moderate rain
330,Dunedin,NZ,-45.87,170.5,52.0,70,34,18.99,scattered clouds
331,Jaragua,BR,-15.76,-49.33,68.0,88,75,4.7,broken clouds
332,Druzhba,UA,52.04,33.95,44.94,88,94,7.63,overcast clouds
333,Urumqi,CN,43.8,87.6,46.4,42,0,2.24,clear sky
334,Vardo,NO,70.37,31.11,42.8,81,75,12.75,broken clouds
335,Kirensk,RU,57.79,108.11,20.41,82,13,8.19,few clouds
336,Ulladulla,AU,-35.35,150.47,68.0,64,40,12.75,scattered clouds
337,Dickson,US,36.08,-87.39,39.99,41,75,6.93,broken clouds
338,Mayumba,GA,-3.43,10.66,76.89,88,100,3.44,moderate rain
339,Faya,SA,18.39,42.45,55.4,37,0,3.62,clear sky
340,Mnogovershinnyy,RU,53.94,139.92,34.36,100,100,2.8,moderate rain
341,Verkhoyansk,RU,67.54,133.38,-11.69,87,44,2.66,scattered clouds
342,Monrovia,LR,6.3,-10.8,78.1,87,4,7.11,light rain
343,Caibarien,CU,22.52,-79.47,77.0,94,20,3.36,few clouds
344,Provideniya,RU,64.38,-173.3,23.0,62,40,2.24,heavy snow
345,Lethem,GY,3.38,-59.8,76.77,86,95,3.67,light rain
346,Chekhov,RU,55.14,37.47,43.0,10,100,6.64,overcast clouds
347,Broken Hill,AU,-31.95,141.43,86.0,22,28,8.05,scattered clouds
348,Cornelius,US,35.49,-80.86,50.0,29,1,17.22,clear sky
349,Chernihiv,UA,51.0,32.0,44.83,94,100,8.84,overcast clouds
350,Ayagoz,KZ,47.97,80.44,43.79,56,4,6.49,clear sky
351,Zeya,RU,53.75,127.27,20.59,86,100,9.44,overcast clouds
352,Egyek,HU,47.63,20.9,44.6,100,90,5.82,mist
353,Ranong,TH,9.97,98.63,84.2,83,40,2.89,scattered clouds
354,Ambilobe,MG,-13.2,49.05,79.68,46,61,6.98,broken clouds
355,Labrea,BR,-7.26,-64.8,74.77,82,84,2.1,broken clouds
356,Tanout,NE,14.97,8.89,69.48,28,10,13.44,clear sky
357,Saint-Louis,SN,16.33,-15.0,81.14,16,97,7.18,overcast clouds
358,Kalianget,ID,-7.05,113.93,86.59,62,90,9.66,light rain
359,Tiarei,PF,-17.53,-149.33,82.4,69,40,2.24,shower rain
360,Gander,CA,48.97,-54.59,35.6,80,40,11.41,scattered clouds
361,Karratha,AU,-20.74,116.85,83.77,43,15,18.61,few clouds
362,Guerrero Negro,MX,27.98,-114.06,68.94,76,0,10.38,clear sky
