City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Cleveland,US,39.2,overcast clouds,41.5,-81.7,Cleveland Marriott Downtown at Key Tower
476,Yumen,CN,51.33,clear sky,40.28,97.2,
477,Kinablangan,PH,85.48,light rain,7.69,126.55,Mainit Balete Hot Spring
478,Hailar,CN,19.98,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
479,Kalmunai,LK,86.61,broken clouds,7.42,81.82,VS Villa
480,Divo,CI,71.11,broken clouds,5.84,-5.36,Hôtel IROKO
481,Slonim,BY,36.99,broken clouds,53.09,25.32,Hostel on Brestskaya 107
482,Awjilah,LY,60.67,clear sky,29.11,21.29,
483,Cervo,ES,63.0,overcast clouds,43.67,-7.41,Hotel Spa Galatea
484,Svetlaya,RU,47.23,few clouds,46.54,138.33,
485,Toyota,JP,66.0,light intensity shower rain,35.08,137.15,Meitetsu Toyota Hotel
486,Harstad,NO,46.99,overcast clouds,68.8,16.53,Clarion Collection Hotel Arcticus
487,Puebloviejo,CO,80.01,overcast clouds,10.99,-74.28,The Journey Hostel
489,Nador,MA,60.8,overcast clouds,35.17,-2.93,Airport hotel
490,Umm Lajj,SA,81.03,few clouds,25.02,37.27,Moon light Furnished Units
491,Xique-Xique,BR,76.23,light rain,-10.82,-42.73,Hotel J. Macedo
492,Aksarka,RU,22.5,broken clouds,66.56,67.8,
493,Saint-Francois,FR,62.6,clear sky,46.42,3.91,Manoir Du Bonheur
494,Vorukh,TJ,57.18,overcast clouds,39.85,70.58,
495,Zhangye,CN,52.41,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
496,Adrar,MR,75.16,overcast clouds,20.5,-10.07,
497,Mangrol,IN,86.13,clear sky,21.12,70.12,Hotel The Royal Honours
498,Ostersund,SE,46.0,light rain,63.18,14.64,Best Western Hotel Gamla Teatern
499,Red Bluff,US,57.2,clear sky,40.18,-122.24,Hampton Inn & Suites Red Bluff
500,Ngama,TD,80.85,broken clouds,11.78,17.17,
501,Nanortalik,GL,32.16,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
502,Pirenopolis,BR,68.0,broken clouds,-15.85,-48.96,Hotel Pousada Mandala
503,Teya,RU,34.34,overcast clouds,60.38,92.63,
504,Tuni,IN,87.49,clear sky,17.35,82.55,Sai Krishna Lodge
506,Nouakchott,MR,73.4,overcast clouds,18.09,-15.98,Hôtel Iman
